point_id,case_id,coolant,material,grid_heat_load_W,grid_mass_flow_kg_s,grid_radiator_area_m2,grid_low_side_pressure_Pa,feasible,category,reason_codes,failed_gates,active_constraint,heat_load_W,modeled_mass_kg,fluid_delta_T_K,pump_power_W,radiator_temperature_K,radiator_area_m2,junction_margin_K,fluid_inventory_kg,containment_mass_kg,inventory_plus_containment_kg,operating_pressure_Pa,parasitic_power_W,min_subcooling_Pa,pareto_front_membership,dominated_reasons
ammonia-aluminum|Q=800|mdot=0.03|A=1.5|Plo=1.5e+06,ammonia-aluminum,ammonia,aluminum,800,0.03,1.5,1.5e+06,False,infeasible_ranked,phase_margin_failure,subcooling_margin,none,,,,,,,,,,,,,,,
ammonia-aluminum|Q=800|mdot=0.03|A=1.5|Plo=2.5e+06,ammonia-aluminum,ammonia,aluminum,800,0.03,1.5,2.5e+06,True,feasible_ranked,feasible|mass_accounting_incomplete,,junction limit,800,12.1969,5.49237,3.67811,309.255,3,69.8094,0.0147551,0.00250323,0.0172583,2.5e+06,3.67811,994072,modeled_mass_vs_parasitic_power|pump_power_vs_delta_T,inventory_containment_mass_vs_pressure=dominated_on_inventory_plus_containment_kg|junction_margin_vs_load=dominated_on_junction_margin_K|modeled_mass_vs_load=dominated_on_modeled_mass_kg|radiator_area_vs_temp=dominated_on_radiator_temperature_K
ammonia-aluminum|Q=800|mdot=0.03|A=2.5|Plo=1.5e+06,ammonia-aluminum,ammonia,aluminum,800,0.03,2.5,1.5e+06,True,feasible_ranked,feasible|mass_accounting_incomplete,,junction limit,800,20.1967,5.68274,3.47885,289.766,5,89.2873,0.0154808,0.00151944,0.0170002,1.5e+06,3.47885,657498,pump_power_vs_delta_T,inventory_containment_mass_vs_pressure=dominated_on_inventory_plus_containment_kg|junction_margin_vs_load=dominated_on_junction_margin_K|modeled_mass_vs_load=dominated_on_modeled_mass_kg|modeled_mass_vs_parasitic_power=dominated_on_modeled_mass_kg|radiator_area_vs_temp=dominated_on_radiator_temperature_K
ammonia-aluminum|Q=800|mdot=0.03|A=2.5|Plo=2.5e+06,ammonia-aluminum,ammonia,aluminum,800,0.03,2.5,2.5e+06,True,feasible_ranked,feasible|mass_accounting_incomplete,,junction limit,800,20.1977,5.69531,3.47369,289.766,5,89.2867,0.0155021,0.00250289,0.018005,2.5e+06,3.47369,1.65733e+06,pump_power_vs_delta_T,inventory_containment_mass_vs_pressure=dominated_on_inventory_plus_containment_kg|junction_margin_vs_load=dominated_on_junction_margin_K|modeled_mass_vs_load=dominated_on_modeled_mass_kg|modeled_mass_vs_parasitic_power=dominated_on_modeled_mass_kg|radiator_area_vs_temp=dominated_on_radiator_temperature_K
ammonia-aluminum|Q=800|mdot=0.05|A=1.5|Plo=1.5e+06,ammonia-aluminum,ammonia,aluminum,800,0.05,1.5,1.5e+06,True,feasible_ranked,feasible|mass_accounting_incomplete,,subcooling margin,800,12.196,3.31124,15.3692,309.661,3,69.6285,0.0147116,0.00158666,0.0162983,1.5e+06,15.3692,22799.9,inventory_containment_mass_vs_pressure|modeled_mass_vs_load|modeled_mass_vs_parasitic_power|pump_power_vs_delta_T,junction_margin_vs_load=dominated_on_junction_margin_K|radiator_area_vs_temp=dominated_on_radiator_temperature_K
ammonia-aluminum|Q=800|mdot=0.05|A=1.5|Plo=2.5e+06,ammonia-aluminum,ammonia,aluminum,800,0.05,1.5,2.5e+06,True,feasible_ranked,feasible|mass_accounting_incomplete,,junction limit,800,12.197,3.32289,15.3315,309.659,3,69.6291,0.0147398,0.00257006,0.0173098,2.5e+06,15.3315,1.02261e+06,pump_power_vs_delta_T,inventory_containment_mass_vs_pressure=dominated_on_inventory_plus_containment_kg|junction_margin_vs_load=dominated_on_junction_margin_K|modeled_mass_vs_load=dominated_on_modeled_mass_kg|modeled_mass_vs_parasitic_power=dominated_on_modeled_mass_kg|radiator_area_vs_temp=dominated_on_radiator_temperature_K
ammonia-aluminum|Q=800|mdot=0.05|A=2.5|Plo=1.5e+06,ammonia-aluminum,ammonia,aluminum,800,0.05,2.5,1.5e+06,True,feasible_ranked,feasible|mass_accounting_incomplete,,junction limit,800,20.1967,3.43782,14.461,290.045,5,89.2368,0.0154714,0.00158549,0.0170569,1.5e+06,14.461,680171,pump_power_vs_delta_T,inventory_containment_mass_vs_pressure=dominated_on_inventory_plus_containment_kg|junction_margin_vs_load=dominated_on_junction_margin_K|modeled_mass_vs_load=dominated_on_modeled_mass_kg|modeled_mass_vs_parasitic_power=dominated_on_modeled_mass_kg|radiator_area_vs_temp=dominated_on_radiator_temperature_K
ammonia-aluminum|Q=800|mdot=0.05|A=2.5|Plo=2.5e+06,ammonia-aluminum,ammonia,aluminum,800,0.05,2.5,2.5e+06,True,feasible_ranked,feasible|mass_accounting_incomplete,,junction limit,800,20.1977,3.44542,14.4385,290.044,5,89.2368,0.0154928,0.00256893,0.0180617,2.5e+06,14.4385,1.68009e+06,pump_power_vs_delta_T,inventory_containment_mass_vs_pressure=dominated_on_inventory_plus_containment_kg|junction_margin_vs_load=dominated_on_junction_margin_K|modeled_mass_vs_load=dominated_on_modeled_mass_kg|modeled_mass_vs_parasitic_power=dominated_on_modeled_mass_kg|radiator_area_vs_temp=dominated_on_radiator_temperature_K
ammonia-aluminum|Q=800|mdot=0.08|A=1.5|Plo=1.5e+06,ammonia-aluminum,ammonia,aluminum,800,0.08,1.5,1.5e+06,False,infeasible_ranked,phase_margin_failure,subcooling_margin,none,,,,,,,,,,,,,,,
ammonia-aluminum|Q=800|mdot=0.08|A=1.5|Plo=2.5e+06,ammonia-aluminum,ammonia,aluminum,800,0.08,1.5,2.5e+06,True,feasible_ranked,feasible|mass_accounting_incomplete,,junction limit,800,12.1971,2.13827,57.513,311.11,3,68.3175,0.0146829,0.00271886,0.0174018,2.5e+06,57.513,986720,pump_power_vs_delta_T,inventory_containment_mass_vs_pressure=dominated_on_inventory_plus_containment_kg|junction_margin_vs_load=dominated_on_junction_margin_K|modeled_mass_vs_load=dominated_on_modeled_mass_kg|modeled_mass_vs_parasitic_power=dominated_on_modeled_mass_kg|radiator_area_vs_temp=dominated_on_radiator_temperature_K
ammonia-aluminum|Q=800|mdot=0.08|A=2.5|Plo=1.5e+06,ammonia-aluminum,ammonia,aluminum,800,0.08,2.5,1.5e+06,True,feasible_ranked,feasible|mass_accounting_incomplete,,junction limit,800,20.1968,2.2117,54.0188,291.04,5,88.3828,0.0154363,0.00173214,0.0171685,1.5e+06,54.0188,670036,pump_power_vs_delta_T,inventory_containment_mass_vs_pressure=dominated_on_inventory_plus_containment_kg|junction_margin_vs_load=dominated_on_junction_margin_K|modeled_mass_vs_load=dominated_on_modeled_mass_kg|modeled_mass_vs_parasitic_power=dominated_on_modeled_mass_kg|radiator_area_vs_temp=dominated_on_radiator_temperature_K
ammonia-aluminum|Q=800|mdot=0.08|A=2.5|Plo=2.5e+06,ammonia-aluminum,ammonia,aluminum,800,0.08,2.5,2.5e+06,True,feasible_ranked,feasible|mass_accounting_incomplete,,junction limit,800,20.1979,2.21658,53.9294,291.038,5,88.3847,0.0154581,0.00271553,0.0181736,2.5e+06,53.9294,1.67003e+06,pump_power_vs_delta_T,inventory_containment_mass_vs_pressure=dominated_on_inventory_plus_containment_kg|junction_margin_vs_load=dominated_on_junction_margin_K|modeled_mass_vs_load=dominated_on_modeled_mass_kg|modeled_mass_vs_parasitic_power=dominated_on_modeled_mass_kg|radiator_area_vs_temp=dominated_on_radiator_temperature_K
ammonia-aluminum|Q=1200|mdot=0.03|A=1.5|Plo=1.5e+06,ammonia-aluminum,ammonia,aluminum,1200,0.03,1.5,1.5e+06,False,nonconverged,residual_nonconvergence,,none,,,,,,,,,,,,,,,
ammonia-aluminum|Q=1200|mdot=0.03|A=1.5|Plo=2.5e+06,ammonia-aluminum,ammonia,aluminum,1200,0.03,1.5,2.5e+06,False,infeasible_ranked,phase_margin_failure,subcooling_margin,none,,,,,,,,,,,,,,,
